########################## MODEL 50 states #################################
-------------- Train Model with 50 states------------------
BW-Algo: 1.iteration taking 1.7119998931884766 LogLiklihood: -57778.44699601413
BW-Algo: 2.iteration taking 1.8270001411437988 LogLiklihood: -47700.80896613772
BW-Algo: 3.iteration taking 1.9500000476837158 LogLiklihood: -47647.54567687252
BW-Algo: 4.iteration taking 1.8619999885559082 LogLiklihood: -47560.44826408074
BW-Algo: 5.iteration taking 1.8919999599456787 LogLiklihood: -47384.73574208762
BW-Algo: 6.iteration taking 1.9739999771118164 LogLiklihood: -46938.87452344653
BW-Algo: 7.iteration taking 1.99399995803833 LogLiklihood: -45504.27093413112
BW-Algo: 8.iteration taking 1.8250000476837158 LogLiklihood: -41697.45936471016
BW-Algo: 9.iteration taking 1.8870000839233398 LogLiklihood: -37473.19232362535
BW-Algo: 10.iteration taking 1.8429999351501465 LogLiklihood: -34757.26222451334
BW-Algo: 11.iteration taking 1.9129998683929443 LogLiklihood: -32778.40627484972
BW-Algo: 12.iteration taking 1.9230000972747803 LogLiklihood: -31534.250187915448
BW-Algo: 13.iteration taking 1.9030001163482666 LogLiklihood: -30977.208521846333
BW-Algo: 14.iteration taking 1.8969998359680176 LogLiklihood: -30655.786045060668
BW-Algo: 15.iteration taking 1.934000015258789 LogLiklihood: -30436.07378920591
BW-Algo: 16.iteration taking 1.8700001239776611 LogLiklihood: -30284.857175248704
BW-Algo: 17.iteration taking 1.936999797821045 LogLiklihood: -30168.26297439265
BW-Algo: 18.iteration taking 1.817000150680542 LogLiklihood: -30075.583965567123
BW-Algo: 19.iteration taking 2.0490000247955322 LogLiklihood: -30000.908994073823
BW-Algo: 20.iteration taking 1.9730000495910645 LogLiklihood: -29943.49144321685
BW-Algo: 21.iteration taking 1.996999979019165 LogLiklihood: -29896.0427711956
BW-Algo: 22.iteration taking 2.0759999752044678 LogLiklihood: -29854.96997384638
BW-Algo: 23.iteration taking 1.940999984741211 LogLiklihood: -29817.304087001783
BW-Algo: 24.iteration taking 1.7969999313354492 LogLiklihood: -29780.462510137055
BW-Algo: 25.iteration taking 1.871000051498413 LogLiklihood: -29747.387116816986
BW-Algo: 26.iteration taking 1.8350000381469727 LogLiklihood: -29722.95872815615
BW-Algo: 27.iteration taking 1.9059998989105225 LogLiklihood: -29702.710814433103
BW-Algo: 28.iteration taking 1.7920000553131104 LogLiklihood: -29682.906443888103
BW-Algo: 29.iteration taking 1.8970000743865967 LogLiklihood: -29663.17567365739
BW-Algo: 30.iteration taking 1.8299999237060547 LogLiklihood: -29644.04460930968
BW-Algo: 31.iteration taking 1.8910000324249268 LogLiklihood: -29625.23933815885
BW-Algo: 32.iteration taking 1.7949998378753662 LogLiklihood: -29602.875558933305
BW-Algo: 33.iteration taking 1.8610000610351562 LogLiklihood: -29581.18191956634
BW-Algo: 34.iteration taking 1.8070001602172852 LogLiklihood: -29565.349648613592
BW-Algo: 35.iteration taking 1.809999942779541 LogLiklihood: -29546.577540350307
BW-Algo: 36.iteration taking 1.8339998722076416 LogLiklihood: -29528.543194246973
BW-Algo: 37.iteration taking 1.8600001335144043 LogLiklihood: -29516.95998824456
BW-Algo: 38.iteration taking 1.8350000381469727 LogLiklihood: -29506.433669420796
BW-Algo: 39.iteration taking 1.870999813079834 LogLiklihood: -29495.997077821714
BW-Algo: 40.iteration taking 1.8550000190734863 LogLiklihood: -29485.169162352126
BW-Algo: 41.iteration taking 1.8250000476837158 LogLiklihood: -29474.149954770324
BW-Algo: 42.iteration taking 1.872999906539917 LogLiklihood: -29462.303032164524
BW-Algo: 43.iteration taking 1.8660001754760742 LogLiklihood: -29452.592960220594
BW-Algo: 44.iteration taking 1.8559999465942383 LogLiklihood: -29444.58673950211
BW-Algo: 45.iteration taking 1.871999979019165 LogLiklihood: -29436.86932652021
BW-Algo: 46.iteration taking 1.8829998970031738 LogLiklihood: -29427.598936111244
BW-Algo: 47.iteration taking 1.8660001754760742 LogLiklihood: -29417.014912518163
BW-Algo: 48.iteration taking 1.816999912261963 LogLiklihood: -29407.27323633102
BW-Algo: 49.iteration taking 1.88100004196167 LogLiklihood: -29398.9459965385
BW-Algo: 50.iteration taking 1.8589999675750732 LogLiklihood: -29390.408071646514
BW-Algo: 51.iteration taking 1.8870000839233398 LogLiklihood: -29381.229581957363
BW-Algo: 52.iteration taking 1.994999885559082 LogLiklihood: -29372.091225742035
BW-Algo: 53.iteration taking 2.0190000534057617 LogLiklihood: -29362.92542911611
BW-Algo: 54.iteration taking 2.0160000324249268 LogLiklihood: -29355.060856825192
BW-Algo: 55.iteration taking 1.9089999198913574 LogLiklihood: -29348.66676643958
BW-Algo: 56.iteration taking 1.9730000495910645 LogLiklihood: -29342.195945318133
BW-Algo: 57.iteration taking 1.8280000686645508 LogLiklihood: -29335.216156631206
BW-Algo: 58.iteration taking 1.8539998531341553 LogLiklihood: -29327.918325174036
BW-Algo: 59.iteration taking 1.8310000896453857 LogLiklihood: -29320.789188221035
BW-Algo: 60.iteration taking 1.8889999389648438 LogLiklihood: -29314.15504523492
BW-Algo: 61.iteration taking 1.812999963760376 LogLiklihood: -29307.421486457664
BW-Algo: 62.iteration taking 1.811000108718872 LogLiklihood: -29299.306087398807
BW-Algo: 63.iteration taking 1.813999891281128 LogLiklihood: -29290.276853654374
BW-Algo: 64.iteration taking 1.809000015258789 LogLiklihood: -29283.066338675715
BW-Algo: 65.iteration taking 1.814000129699707 LogLiklihood: -29276.456588078552
BW-Algo: 66.iteration taking 1.938999891281128 LogLiklihood: -29270.01952054879
BW-Algo: 67.iteration taking 1.7980000972747803 LogLiklihood: -29264.74446394865
BW-Algo: 68.iteration taking 1.804999828338623 LogLiklihood: -29260.39188590936
BW-Algo: 69.iteration taking 1.8320000171661377 LogLiklihood: -29256.537363172316
BW-Algo: 70.iteration taking 1.877000093460083 LogLiklihood: -29253.667950734183
BW-Algo: 71.iteration taking 1.7990000247955322 LogLiklihood: -29250.91351392628
BW-Algo: 72.iteration taking 1.9019999504089355 LogLiklihood: -29247.505515119487
BW-Algo: 73.iteration taking 1.8029999732971191 LogLiklihood: -29244.885815707843
BW-Algo: 74.iteration taking 1.9010000228881836 LogLiklihood: -29242.79495020758
BW-Algo: 75.iteration taking 1.8029999732971191 LogLiklihood: -29240.802962662598
BW-Algo: 76.iteration taking 1.8910000324249268 LogLiklihood: -29238.43315462229
BW-Algo: 77.iteration taking 1.819000005722046 LogLiklihood: -29234.84013886746
BW-Algo: 78.iteration taking 1.9279999732971191 LogLiklihood: -29232.36897765078
BW-Algo: 79.iteration taking 1.8050000667572021 LogLiklihood: -29229.62679551124
BW-Algo: 80.iteration taking 1.871000051498413 LogLiklihood: -29224.456844154214
BW-Algo: 81.iteration taking 1.806999921798706 LogLiklihood: -29219.610293562175
BW-Algo: 82.iteration taking 1.9049999713897705 LogLiklihood: -29216.106139098185
BW-Algo: 83.iteration taking 1.8229999542236328 LogLiklihood: -29214.198396621585
BW-Algo: 84.iteration taking 1.9070000648498535 LogLiklihood: -29212.58396566396
BW-Algo: 85.iteration taking 1.803999900817871 LogLiklihood: -29210.901343545935
BW-Algo: 86.iteration taking 1.8260002136230469 LogLiklihood: -29208.95825218749
BW-Algo: 87.iteration taking 1.8349997997283936 LogLiklihood: -29206.474499524462
BW-Algo: 88.iteration taking 1.874000072479248 LogLiklihood: -29203.413638220947
BW-Algo: 89.iteration taking 1.8240001201629639 LogLiklihood: -29200.165422652397
BW-Algo: 90.iteration taking 1.8320000171661377 LogLiklihood: -29196.032833940375
BW-Algo: 91.iteration taking 1.8420000076293945 LogLiklihood: -29193.135668467505
BW-Algo: 92.iteration taking 1.9039998054504395 LogLiklihood: -29190.86335218881
BW-Algo: 93.iteration taking 1.8610000610351562 LogLiklihood: -29188.435287923006
BW-Algo: 94.iteration taking 1.8580000400543213 LogLiklihood: -29186.149387185716
BW-Algo: 95.iteration taking 1.8259999752044678 LogLiklihood: -29184.187492910823
BW-Algo: 96.iteration taking 1.871000051498413 LogLiklihood: -29182.48898649791
BW-Algo: 97.iteration taking 1.815000057220459 LogLiklihood: -29180.95979708391
BW-Algo: 98.iteration taking 1.8279998302459717 LogLiklihood: -29179.46624922467
BW-Algo: 99.iteration taking 1.8970000743865967 LogLiklihood: -29177.75954704302
BW-Algo: 100.iteration taking 1.8380000591278076 LogLiklihood: -29175.529783593764
 ### Timing: {186973 milliseconds} ###
-------------- Calc forecast distribution for {50} states------------------
 ### Timing: {391 milliseconds} ###
-------------- Generate PIT plots for {50} states------------------
 ### Timing: {1027 milliseconds} ###
